Ticket ID,Ticket Description,Category,Priority Level,Date Created
TKT-1575,Please help. I want to cancel my subscription but need to know the final bill. Urgent!,Billing Issues,High,2025-09-09 15:04:11
TKT-1617,,Account Access,Medium,2026-03-31 15:04:11
TKT-2228,ASAP. I was charged twice for my subscription this month. Thanks.,Billing Issues,High,2026-05-29 15:04:11
TKT-1020,Are there any discounts available for students or nonprofits?,Product Inquiry,Low,2026-03-31 15:04:11
TKT-2495,Urgent! My data is not syncing across devices.,Technical Issues,Medium,2025-09-11 15:04:11
TKT-1770,"Is the platform compliant with GDPR? Hello,",Product Inquiry,Low,2025-10-24 15:04:11
TKT-2883,Are there any discounts available for students or nonprofits?,Product Inquiry,Medium,2026-03-18 15:04:11
TKT-1358,ASAP. Can you unlock my account? I remember my password now.,Account Access,High,2025-08-21 15:04:11
TKT-1294,Can you unlock my account? I remember my password now. Please help.,Account Access,High,2026-02-22 15:04:11
TKT-1967,Thanks. Does this software support multi-user collaboration?,Product Inquiry,Low,2026-02-25 15:04:11
TKT-1045,Any updates? What are the limitations of the free tier?,Product Inquiry,Medium,2025-09-28 15:04:11
TKT-2993,"Hello, Is the platform compliant with GDPR?",Product Inquiry,Low,2025-09-05 15:04:11
TKT-2325,Can I change my notification preferences?,General Query,Medium,2025-12-30 15:04:11
TKT-1540,I want to cancel my subscription but need to know the final bill.,Billing Issues,Low,2026-05-02 15:04:11
TKT-2171,"Hello, When will the new feature be released?",Product Inquiry,Medium,2026-02-28 15:04:11
TKT-2456,"My invoice is incorrect, please fix the amount.",Billing Issues,Medium,2025-12-17 15:04:11
TKT-1087,Urgent! Can I change my notification preferences?,General Query,High,2025-10-31 15:04:11
TKT-1057,The API endpoint is returning a timeout error.,Technical Issues,Medium,2026-04-01 15:04:11
TKT-2175,How do I enable two-factor authentication on my profile?,Account Access,Medium,2025-11-09 15:04:11
TKT-2681,Are there any discounts available for students or nonprofits?,Product Inquiry,Medium,2026-04-25 15:04:11
TKT-2484,"ASAP. My invoice is incorrect, please fix the amount.",Billing Issues,High,2026-03-18 15:04:11
TKT-1117,"Hello, I want to partner with your company, who should I contact?",General Query,Medium,2025-10-03 15:04:11
TKT-2663,The website is very slow today and won't load images.,Technical Issues,High,2025-11-24 15:04:11
TKT-2018,,Account Access,Medium,2025-09-19 15:04:11
TKT-1168,Can I get a demo of the enterprise edition?,Product Inquiry,Medium,2025-06-26 15:04:11
TKT-1199,Where are your headquarters located? Any updates?,General Query,Low,2026-01-24 15:04:11
TKT-1732,Urgent! The app crashes every time I try to open the dashboard.,Technical Issues,Medium,2025-10-11 15:04:11
TKT-2424,"Urgent! There's an unrecognized transaction on my credit card. Hello,",Billing Issues,High,2026-04-17 15:04:11
TKT-2502,"Hello, Can I get a demo of the enterprise edition?",Product Inquiry,Low,2026-05-18 15:04:11
TKT-1941,The app crashes every time I try to open the dashboard. Please help.,Technical Issues,Medium,2025-07-07 15:04:11
TKT-2460,Are there any discounts available for students or nonprofits? Urgent!,Product Inquiry,High,2025-09-10 15:04:11
TKT-2950,"Hello, I cannot access my account after resetting my password.",Account Access,High,2025-08-08 15:04:11
TKT-2384,Please help. There's an unrecognized transaction on my credit card.,Billing Issues,Low,2025-07-19 15:04:11
TKT-1527,Thanks. How do I update my billing address?,Billing Issues,High,2026-04-09 15:04:11
TKT-1118,Please help. When will the new feature be released?,Product Inquiry,Low,2026-03-03 15:04:11
TKT-2398,ASAP. Can I get a demo of the enterprise edition?,Product Inquiry,High,2025-08-03 15:04:11
TKT-1375,When will the new feature be released?,Product Inquiry,Medium,2025-12-07 15:04:11
TKT-1148,"Hello, I want to delete my account permanently.",Account Access,High,2026-05-04 15:04:11
TKT-2438,I cannot access my account after resetting my password. Please help.,Account Access,High,2026-06-08 15:04:11
TKT-2011,Urgent! How can I leave feedback about my experience?,General Query,High,2026-01-03 15:04:11
TKT-1936,I'm getting a 500 internal server error when uploading a file.,Technical Issues,High,2025-07-28 15:04:11
TKT-1752,I would like to request a refund for the recent charge.,Billing Issues,Low,2025-09-25 15:04:11
TKT-1878,I am unable to connect to the database.,Technical Issues,High,2026-05-31 15:04:11
TKT-1850,The API endpoint is returning a timeout error.,Technical Issues,High,2025-09-14 15:04:11
TKT-2287,I am unable to connect to the database.,Technical Issues,High,2026-05-24 15:04:11
TKT-1788,Is there a community forum for users?,General Query,Low,2025-06-17 15:04:11
TKT-1205,Where can I find the user manual for the latest hardware?,Product Inquiry,Low,2026-05-30 15:04:11
TKT-1333,"I want to partner with your company, who should I contact?",General Query,Low,2026-02-14 15:04:11
TKT-2863,Is there a community forum for users? Please help.,General Query,Low,2025-07-19 15:04:11
TKT-1119,I forgot my password and the recovery email isn't arriving. Thanks.,Account Access,Medium,2025-06-26 15:04:11
TKT-2240,Please help. I found a bug in the latest update regarding the search feature.,Technical Issues,Medium,2026-04-08 15:04:11
TKT-1336,Is the platform compliant with GDPR?,Product Inquiry,Low,2026-03-01 15:04:11
TKT-1432,How can I leave feedback about my experience?,General Query,Low,2026-01-12 15:04:11
TKT-2146,Is there a community forum for users?,General Query,Low,2026-05-29 15:04:11
TKT-1985,Thanks. How do I enable two-factor authentication on my profile?,Account Access,High,2026-05-23 15:04:11
TKT-2939,Urgent! Can I change my notification preferences?,General Query,High,2025-10-09 15:04:11
TKT-1836,Urgent! Do you offer customer support in Spanish?,General Query,Medium,2026-02-21 15:04:11
TKT-2675,I am unable to connect to the database.,Technical Issues,High,2025-07-12 15:04:11
TKT-1543,Urgent! I cannot access my account after resetting my password. Thanks.,Account Access,High,2025-07-10 15:04:11
TKT-2358,I cannot access my account after resetting my password.,Account Access,Medium,2025-12-22 15:04:11
TKT-2623,Can I change my notification preferences?,General Query,Low,2025-07-31 15:04:11
TKT-1342,Where are your headquarters located? Any updates?,General Query,Low,2026-01-19 15:04:11
TKT-1170,Can I change my notification preferences? Urgent!,General Query,High,2025-11-08 15:04:11
TKT-1422,Any updates? How do I update my billing address?,Billing Issues,Medium,2025-10-25 15:04:11
TKT-1824,Please help. How long does it usually take to get a response? ASAP.,General Query,High,2025-07-24 15:04:11
TKT-2314,Urgent! My data is not syncing across devices.,Technical Issues,High,2025-06-16 15:04:11
TKT-2441,"Any updates? I want to partner with your company, who should I contact?",General Query,Low,2025-08-26 15:04:11
TKT-1369,ASAP. My account was hacked and I need to regain control. Any updates?,Account Access,High,2026-03-29 15:04:11
TKT-2237,"Hello, Do you offer customer support in Spanish?",General Query,Low,2025-06-30 15:04:11
TKT-2827,I found a bug in the latest update regarding the search feature.,Technical Issues,High,2026-03-28 15:04:11
TKT-2982,Is there a community forum for users?,General Query,Low,2026-06-13 15:04:11
TKT-1855,Thanks. How do I update my billing address?,Billing Issues,Low,2026-05-31 15:04:11
TKT-1686,Any updates? I cannot access my account after resetting my password.,Account Access,High,2025-12-03 15:04:11
TKT-1740,Where can I find the user manual for the latest hardware?,Product Inquiry,Medium,2025-11-28 15:04:11
TKT-2315,What are the limitations of the free tier? Please help.,Product Inquiry,Medium,2025-12-26 15:04:11
TKT-2514,I was charged twice for my subscription this month. Please help.,Billing Issues,High,2025-10-18 15:04:11
TKT-1607,Can I get a demo of the enterprise edition?,Product Inquiry,Low,2025-09-30 15:04:11
TKT-1716,Please help. I found a bug in the latest update regarding the search feature.,Technical Issues,High,2025-11-09 15:04:11
TKT-1135,I would like information about your premium subscription plan. Please help.,Product Inquiry,Medium,2026-01-12 15:04:11
TKT-2170,The software keeps freezing during the export process. Any updates?,Technical Issues,High,2025-08-12 15:04:11
TKT-2647,Do you offer an API for custom integrations?,Product Inquiry,Low,2025-09-14 15:04:11
TKT-2994,,Account Access,Medium,2025-09-16 15:04:11
TKT-1707,Do you offer an API for custom integrations? Any updates?,Product Inquiry,Low,2026-03-25 15:04:11
TKT-1493,"Thanks. I want to partner with your company, who should I contact? ASAP.",General Query,High,2025-12-30 15:04:11
TKT-1128,Where can I find the user manual for the latest hardware?,Product Inquiry,Low,2026-01-29 15:04:11
TKT-2606,ASAP. My account has been locked due to multiple login attempts.,Account Access,Medium,2025-08-07 15:04:11
TKT-1518,Urgent! Can I get a demo of the enterprise edition?,Product Inquiry,Medium,2025-06-16 15:04:11
TKT-2847,I want to delete my account permanently. Please help.,Account Access,High,2025-06-27 15:04:11
TKT-1388,,Product Inquiry,Low,2025-11-05 15:04:11
